date,blocks
2018-06-30,378
2018-07-01,1436
2018-07-02,1428
2018-07-03,1438
2018-07-04,1439
2018-07-05,1431
2018-07-06,1428
2018-07-07,1431
2018-07-08,1436
2018-07-09,1317
2018-07-10,1255
2018-07-11,1203
2018-07-12,914
2018-07-13,1389
2018-07-14,1177
2018-07-15,1223
2018-07-16,1356
2018-07-17,1231
2018-07-18,1433
2018-07-19,1431
2018-07-20,1380
2018-07-21,1405
2018-07-22,1438
2018-07-23,1433
2018-07-24,1434
2018-07-25,1416
2018-07-26,1430
2018-07-27,1417
2018-07-28,1388
2018-07-29,1398
2018-07-30,1382
2018-07-31,1377
2018-08-01,1305
2018-08-02,1344
2018-08-03,1373
2018-08-04,1389
2018-08-05,1391
2018-08-06,1129
2018-08-07,1258
2018-08-08,1327
2018-08-09,1327
2018-08-10,1350
2018-08-11,1337
2018-08-12,1360
2018-08-13,1332
2018-08-14,1363
2018-08-15,1367
2018-08-16,1341
2018-08-17,1327
2018-08-18,1375
2018-08-19,1337
2018-08-20,1346
2018-08-21,1365
2018-08-22,1361
2018-08-23,1362
2018-08-24,1370
2018-08-25,1319
2018-08-26,1381
2018-08-27,1384
2018-08-28,1381
2018-08-29,1372
2018-08-30,1393
2018-08-31,1366
2018-09-01,1379
2018-09-02,1352
2018-09-03,1381
2018-09-04,1398
2018-09-05,1381
2018-09-06,1392
2018-09-07,1403
2018-09-08,1399
2018-09-09,1402
2018-09-10,1403
2018-09-11,1386
2018-09-12,1411
2018-09-13,1375
2018-09-14,1384
2018-09-15,1393
2018-09-16,1407
2018-09-17,1409
2018-09-18,1424
2018-09-19,1418
2018-09-20,1414
2018-09-21,1419
2018-09-22,1427
2018-09-23,1424
2018-09-24,1260
2018-09-25,1391
2018-09-26,1388
2018-09-27,1408
2018-09-28,1413
2018-09-29,1394
2018-09-30,1403
2018-10-01,1330
2018-10-02,1355
2018-10-03,1400
2018-10-04,1408
2018-10-05,1406
2018-10-06,1414
2018-10-07,1405
2018-10-08,1408
2018-10-09,1412
2018-10-10,1403
2018-10-11,1414
2018-10-12,1402
2018-10-13,1410
2018-10-14,1408
2018-10-15,1401
2018-10-16,1406
2018-10-17,1384
2018-10-18,1346
2018-10-19,1363
2018-10-20,1402
2018-10-21,1404
2018-10-22,1414
2018-10-23,1420
2018-10-24,1420
2018-10-25,1389
2018-10-26,1421
2018-10-27,1396
2018-10-28,1415
2018-10-29,1414
2018-10-30,1404
2018-10-31,1411
2018-11-01,1410
2018-11-02,1405
2018-11-03,1415
2018-11-04,1396
2018-11-05,1409
2018-11-06,1416
2018-11-07,1419
2018-11-08,1379
2018-11-09,1408
2018-11-10,1384
2018-11-11,1366
2018-11-12,1375
2018-11-13,1393
2018-11-14,1359
2018-11-15,1330
2018-11-16,1341
2018-11-17,1384
2018-11-18,1400
2018-11-19,1382
2018-11-20,1361
2018-11-21,1264
2018-11-22,1322
2018-11-23,1031
2018-11-24,1179
2018-11-25,1044
2018-11-26,977
2018-11-27,1092
2018-11-28,1310
2018-11-29,1384
2018-11-30,1365
2018-12-01,1055
2018-12-02,1263
2018-12-03,1272
2018-12-04,1372
2018-12-05,1363
2018-12-06,1306
2018-12-07,1377
2018-12-08,1359
2018-12-09,1346
2018-12-10,1367
2018-12-11,1398
2018-12-12,1308
2018-12-13,1318
2018-12-14,1375
2018-12-15,1321
2018-12-16,1346
2018-12-17,1378
2018-12-18,1363
2018-12-19,1377
2018-12-20,1388
2018-12-21,1346
2018-12-22,1365
2018-12-23,1384
2018-12-24,1384
2018-12-25,1381
2018-12-26,1387
2018-12-27,1369
2018-12-28,1359
2018-12-29,1398
2018-12-30,1393
2018-12-31,1411
2019-01-01,1407
2019-01-02,1380
2019-01-03,1394
2019-01-04,1387
2019-01-05,1395
2019-01-06,1401
2019-01-07,1402
2019-01-08,1383
2019-01-09,1375
2019-01-10,1380
2019-01-11,1341
2019-01-12,1401
2019-01-13,1385
2019-01-14,1367
2019-01-15,1390
2019-01-16,1406
2019-01-17,1387
2019-01-18,1407
2019-01-19,1416
2019-01-20,1370
2019-01-21,1404
2019-01-22,1417
2019-01-23,1372
2019-01-24,1409
2019-01-25,1404
2019-01-26,1368
2019-01-27,1351
2019-01-28,1367
2019-01-29,1369
2019-01-30,1408
2019-01-31,1383
2019-02-01,1382
2019-02-02,1406
2019-02-03,1399
2019-02-04,1378
2019-02-05,1390
2019-02-06,1398
2019-02-07,1386
2019-02-08,1397
2019-02-09,1395
2019-02-10,1397
2019-02-11,1402
2019-02-12,1400
2019-02-13,1400
2019-02-14,1416
2019-02-15,1386
2019-02-16,1372
2019-02-17,1411
2019-02-18,1407
2019-02-19,1392
2019-02-20,1399
2019-02-21,1407
2019-02-22,1386
2019-02-23,1403
2019-02-24,1390
2019-02-25,1408
2019-02-26,1394
2019-02-27,1379
2019-02-28,1399
2019-03-01,1382
2019-03-02,1393
2019-03-03,1394
2019-03-04,1403
2019-03-05,1372
2019-03-06,1387
2019-03-07,1383
2019-03-08,1369
2019-03-09,1391
2019-03-10,1361
2019-03-11,1372
2019-03-12,1397
2019-03-13,1394
2019-03-14,1387
2019-03-15,1392
2019-03-16,1392
2019-03-17,1409
2019-03-18,1414
2019-03-19,1401
2019-03-20,1387
2019-03-21,1422
2019-03-22,1409
2019-03-23,1400
2019-03-24,1402
2019-03-25,1402
2019-03-26,1408
2019-03-27,1418
2019-03-28,1397
2019-03-29,1396
2019-03-30,1416
2019-03-31,1408
2019-04-01,1410
2019-04-02,1404
2019-04-03,1374
2019-04-04,1375
2019-04-05,1380
2019-04-06,1391
2019-04-07,1405
2019-04-08,1405
2019-04-09,1407
2019-04-10,1407
2019-04-11,1386
2019-04-12,1371
2019-04-13,1340
2019-04-14,1367
2019-04-15,1386
2019-04-16,1399
2019-04-17,1407
2019-04-18,1395
2019-04-19,1390
2019-04-20,1410
2019-04-21,1384
2019-04-22,1384
2019-04-23,1381
2019-04-24,1364
2019-04-25,1389
2019-04-26,1388
2019-04-27,1386
2019-04-28,1395
2019-04-29,1401
2019-04-30,1402
2019-05-01,1401
2019-05-02,1387
2019-05-03,1391
2019-05-04,1397
2019-05-05,1388
2019-05-06,1375
2019-05-07,1383
2019-05-08,1399
2019-05-09,1390
2019-05-10,1412
2019-05-11,1408
2019-05-12,1406
2019-05-13,1400
2019-05-14,1384
2019-05-15,1418
2019-05-16,1418
2019-05-17,1418
2019-05-18,1406
2019-05-19,1415
2019-05-20,1424
2019-05-21,1379
2019-05-22,1400
2019-05-23,1400
2019-05-24,1402
2019-05-25,1391
2019-05-26,1375
2019-05-27,1382
2019-05-28,1386
2019-05-29,1363
2019-05-30,1278
2019-05-31,1352
2019-06-01,1381
2019-06-02,1378
2019-06-03,1376
2019-06-04,1386
2019-06-05,1384
2019-06-06,1388
2019-06-07,1401
2019-06-08,1399
2019-06-09,1402
2019-06-10,1400
2019-06-11,1387
2019-06-12,1369
2019-06-13,1365
2019-06-14,1387
2019-06-15,1385
2019-06-16,1390
2019-06-17,1375
2019-06-18,1383
2019-06-19,1375
2019-06-20,1365
2019-06-21,1363
2019-06-22,1361
2019-06-23,1356
2019-06-24,1368
2019-06-25,1378
2019-06-26,1384
2019-06-27,1377
2019-06-28,1380
2019-06-29,1352
2019-06-30,1372
2019-07-01,1359
2019-07-02,1362
2019-07-03,1373
2019-07-04,1377
2019-07-05,1381
2019-07-06,1374
2019-07-07,1371
2019-07-08,1393
2019-07-09,1385
2019-07-10,1377
2019-07-11,1383
2019-07-12,1379
2019-07-13,1370
2019-07-14,1331
2019-07-15,1331
2019-07-16,1325
2019-07-17,1369
2019-07-18,1386
2019-07-19,1377
2019-07-20,1399
2019-07-21,1376
2019-07-22,1392
2019-07-23,1385
2019-07-24,1392
2019-07-25,1393
2019-07-26,1374
2019-07-27,1384
2019-07-28,1382
2019-07-29,1404
2019-07-30,1418
2019-07-31,1402
2019-08-01,1412
2019-08-02,1417
2019-08-03,1412
2019-08-04,1412
2019-08-05,1402
2019-08-06,1401
2019-08-07,1400
2019-08-08,1403
2019-08-09,1386
2019-08-10,1398
2019-08-11,1391
2019-08-12,1391
2019-08-13,1382
2019-08-14,1373
2019-08-15,1373
2019-08-16,1373
2019-08-17,1388
2019-08-18,1389
2019-08-19,1382
2019-08-20,1412
2019-08-21,1401
2019-08-22,1397
2019-08-23,1408
2019-08-24,1389
2019-08-25,1413
2019-08-26,1406
2019-08-27,1406
2019-08-28,1404
2019-08-29,1408
2019-08-30,1423
2019-08-31,1415
2019-09-01,1327
2019-09-02,1329
2019-09-03,1354
2019-09-04,1391
2019-09-05,1397
2019-09-06,1423
2019-09-07,1380
2019-09-08,1409
2019-09-09,1397
2019-09-10,1377
2019-09-11,1402
2019-09-12,1387
2019-09-13,1409
2019-09-14,1423
2019-09-15,1404
2019-09-16,1406
2019-09-17,1413
2019-09-18,1410
2019-09-19,1422
2019-09-20,1419
2019-09-21,1424
2019-09-22,1419
2019-09-23,1420
2019-09-24,1416
2019-09-25,1409
2019-09-26,1404
